Departure,Arrival,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a
DCA,PVD,20-Apr,44,97.73,97.73,97.73,0,0,1.11,0.4,9.2,1.11,1.59,0.48,0,0.48
DCA,RDU,20-Apr,26,100,96.15,100,0,0,0.35,1.57,12.5,0.85,1.04,3.24,0.73,0
DCA,RSW,20-Apr,44,97.73,95.45,100,0,0,0.68,1.75,12.66,0.91,2.68,0.41,0.73,0.09
DCA,SDF,20-Apr,25,100,100,100,0,0,0.4,0.64,11.12,0.44,1.48,1.8,0.4,0.2
DCA,SEA,20-Apr,30,100,100,100,0,0,0.07,4.04,14.53,0.37,1.27,2.28,1.37,0.27
DCA,SFO,20-Apr,22,100,100,100,0,0,0.36,3.06,13.45,0.45,0.91,0.68,0.18,0
DCA,SJU,20-Apr,9,100,100,100,0,0,0.89,3.76,16.22,2,0.44,2.8,1.11,0
DCA,SLC,20-Apr,12,100,100,100,0,0,0,1.58,12.92,0,0.83,1.05,1.58,0.33
DCA,STL,20-Apr,58,98.28,98.28,98.28,0,0,2,1.19,10.41,2.19,0.66,0.72,0.52,1.64
DCA,TPA,20-Apr,99,97.98,96.97,95.96,0,0,1.06,2.02,11.75,1.57,1.23,0.42,2.32,1.77
DEN,ABQ,20-Apr,92,97.83,96.74,97.83,0,0,1.78,4.07,14.16,3.62,0.78,0.46,0.72,1.92
DEN,ANC,20-Apr,10,80,80,80,0,0,9.4,6.3,17.2,12.9,0.2,0.18,2.4,8.4
DEN,ATL,20-Apr,141,93.62,88.65,93.62,0,0,4.8,4.52,14.86,7.41,1.36,0.36,1.66,4.44
DEN,AUS,20-Apr,157,96.82,91.08,96.82,0,0,1.29,3.57,13.3,3.36,1.69,1.31,0.86,1.35
DEN,BDL,20-Apr,10,90,80,80,0,0,7.8,5.23,14.3,11.1,4.5,0.17,3.3,9.3
DEN,BHM,20-Apr,10,100,90,100,0,0,0,8.5,20.7,3.6,3.6,0.99,0,0
DEN,BNA,20-Apr,107,97.2,89.72,94.39,0,0,1.52,4.28,14.06,4.07,3.58,0.43,1.67,2.05
DEN,BOS,20-Apr,60,96.67,91.67,96.67,0,0,1.27,3.73,13.67,3.47,1.07,0.91,0.57,0.87
DEN,BUF,20-Apr,7,100,85.71,85.71,0,0,0,6.8,15.86,4.43,4,0,2.43,2.29
DEN,BUR,20-Apr,68,91.18,82.35,89.71,0,0,3.57,4.43,14.63,6.32,5.19,2.82,2.56,4.6
DEN,BWI,20-Apr,69,98.55,94.2,100,0,0,0.58,4.28,13.81,2.67,2.23,1.24,1,0.59
DEN,CLE,20-Apr,47,95.74,93.62,93.62,0,0,2.6,5.83,15.72,5.45,0.77,0.81,1.51,3.04
DEN,CLT,20-Apr,88,97.73,88.64,97.73,0,0,1.68,6.09,17.45,5.16,2.52,1.15,0.22,0.53
DEN,CVG,20-Apr,99,82.83,80.81,83.84,0,0,8.93,3.88,14.51,11.69,2.21,1.25,1.89,10.42
DEN,DAL,20-Apr,67,97.01,88.06,98.51,0,0,1.69,3.35,12.16,3.94,4.16,0.15,0.96,1.33
DEN,DAY,20-Apr,1,100,100,100,0,0,0,4.8,17,0,3,0,0,0
DEN,DCA,20-Apr,31,100,90.32,96.77,0,0,0,7.51,17.55,3.87,3.29,0.75,1.35,0.87
DEN,DFW,20-Apr,161,96.89,88.2,92.55,0,0,1.79,6.37,17.45,5.34,2.07,3.89,3.83,4.07
DEN,DTW,20-Apr,92,98.91,93.48,96.74,0,0,1.49,4.69,15.22,4,0.99,0.74,1.26,1.74
DEN,EWR,20-Apr,34,97.06,88.24,100,0,0,1.56,4.87,15.53,4.15,0.06,0.97,0.09,0.53
DEN,FLL,20-Apr,73,97.26,90.41,95.89,0,0,1.22,4.4,13.85,3.81,4.78,1.11,3.08,3.12
DEN,HNL,20-Apr,1,100,100,100,0,0,5,6.1,17,11,6,3.5,0,0
DEN,HOU,20-Apr,87,93.1,85.06,94.25,0,0,2.86,5.16,14.08,6.45,1.46,0.77,1.95,2.79
DEN,IAD,20-Apr,120,98.33,95,99.17,0,0,0.9,3.76,13.75,2.48,0.43,0.47,0.25,0.42
DEN,IAH,20-Apr,143,96.5,92.31,98.6,0,0,1,4.44,14.94,2.94,1.06,1.39,3.01,2.68
DEN,IND,20-Apr,80,98.75,92.5,98.75,0,0,0.78,4.79,14.74,3.31,2.55,0.56,0.65,0.48
DEN,JAX,20-Apr,22,100,95.45,100,0,0,0,2.68,12.5,1.41,2.59,1.22,0.32,0.23
DEN,JFK,20-Apr,4,75,75,100,0,0,4.75,0.28,11.5,4.25,0,0.4,0,0.5
DEN,LAS,20-Apr,194,96.39,90.72,94.85,0,0,1.05,4.53,14.12,3.45,0.95,0.56,2.03,1.73
DEN,LAX,20-Apr,188,95.74,89.89,94.15,0,0,2.11,4.95,14.94,5.12,0.71,0.6,1.64,2.34
DEN,LGA,20-Apr,50,100,90,100,0,0,0.84,4.76,13.82,3.78,6.22,1.4,0.22,0.18
DEN,LGB,20-Apr,2,100,100,100,0,0,0,0.95,8.5,0,1,0.25,0,0
DEN,MCI,20-Apr,100,97,91,95,0,0,1.85,3.72,12.99,3.92,3.07,0.48,1.41,2.31
DEN,MCO,20-Apr,118,96.61,89.83,98.31,0,0,1.34,4,13.66,3.59,1.36,1.61,0.35,0.69
DEN,MDW,20-Apr,81,98.77,96.3,98.77,0,0,0.77,3.27,12.01,2.53,6.33,0.41,0.52,0.54
DEN,MEM,20-Apr,40,95,90,97.5,0,0,1.8,5.84,16.13,5.33,5.38,0.75,0.75,2
DEN,MIA,20-Apr,43,97.67,93.02,95.35,0,0,0.35,3.79,14.88,2.44,0.74,0.91,2.07,1.65
DEN,MKE,20-Apr,93,94.62,92.47,98.92,0,0,1.99,3.93,13.8,3.59,5.19,0.78,0.13,0.78
DEN,MSP,20-Apr,161,98.76,98.76,100,0,0,0.39,3.37,13.5,1.41,1.37,0.14,0.43,0.12
DEN,MSY,20-Apr,52,98.08,92.31,98.08,0,0,2.9,3.84,13.63,4.88,1.6,0.51,0.83,2.63
DEN,OAK,20-Apr,49,95.92,89.8,91.84,0,0,1.73,4.74,13.69,4.55,0.92,0.3,3.02,2.94
DEN,OGG,20-Apr,2,100,50,100,0,0,3,6.1,17,8,4.5,0.3,0,0
DEN,OMA,20-Apr,80,98.75,92.5,98.75,0,0,0.69,4.51,14.08,2.66,2.65,0.13,1.2,0.91
DEN,ONT,20-Apr,97,94.85,94.85,95.88,0,0,1.34,2.57,12.48,1.96,1.08,0.58,2.71,1.51
DEN,ORD,20-Apr,186,96.24,90.86,97.85,0,0,1.79,5.45,16.25,4.6,0.65,1.58,1.78,2.24
DEN,PDX,20-Apr,91,95.6,92.31,95.6,0,0,1.67,3.77,13.24,3.51,0.21,0.26,1.4,1.69
DEN,PHL,20-Apr,83,96.39,87.95,96.39,0,0,1.55,5.75,15.93,4.86,1.77,0.89,0.8,1.1
DEN,PHX,20-Apr,235,96.17,86.38,94.04,3,75,2.15,4.95,14.84,5.17,0.45,1.09,1.96,2.82
DEN,PIT,20-Apr,32,93.75,90.63,93.75,0,0,1.56,5.29,14.81,4.47,1.97,0.48,1.56,2.38
DEN,PSP,20-Apr,22,100,81.82,95.45,0,0,0.41,6.93,17.86,4.55,0.68,0.53,1.77,1.05
DEN,RDU,20-Apr,44,97.73,95.45,97.73,0,0,2.07,3.85,13.32,3.77,1.45,0.33,0.52,1.66
DEN,RFD,20-Apr,11,63.64,63.64,81.82,0,0,9.27,2.15,12,10.82,0,0,1.27,7.36
DEN,RSW,20-Apr,8,100,87.5,100,0,0,0,6.69,17.13,3.5,2.13,0.5,1.88,1.38
DEN,SAN,20-Apr,125,96,90.4,93.6,0,0,1.26,5.12,14.56,4.13,1.02,0.28,2.98,2.66
DEN,SAT,20-Apr,92,97.83,91.3,96.74,0,0,1.11,3.73,13.73,2.93,3.25,0.71,1.35,1.43
DEN,SDF,20-Apr,19,100,94.74,89.47,0,0,0.26,6.42,16.21,3.32,8.42,0.72,5.42,3.32
DEN,SEA,20-Apr,143,95.8,90.91,94.41,0,0,1.36,4,14.76,3.18,1.63,2.26,2.22,1.77
DEN,SFO,20-Apr,157,96.18,89.81,97.45,0,0,1.63,4.85,15.06,4.34,0.57,1,0.88,1.39
DEN,SJC,20-Apr,63,98.41,93.65,95.24,0,0,0.78,4.13,13.92,2.46,0.16,0.29,1.44,1.33
DEN,SLC,20-Apr,202,96.53,92.57,95.54,0,0,1.56,4.07,14.65,3.94,0.41,0.6,1.68,1.95
DEN,SMF,20-Apr,98,95.92,91.84,94.9,0,0,1.82,3.89,13.45,3.76,1.41,0.42,1.31,2.03
DEN,SNA,20-Apr,84,97.62,95.24,95.24,0,0,1.07,3.15,12.86,2.48,1.37,0.24,0.95,1.17
DEN,STL,20-Apr,126,99.21,93.65,97.62,0,0,0.8,4.26,13.94,3.17,3.54,0.49,1.2,0.98
DEN,TPA,20-Apr,66,96.97,95.45,96.97,0,0,0.68,3.08,12.32,2.32,0.79,0.64,0.53,0.85
DEN,TUS,20-Apr,93,96.77,89.25,94.62,0,0,2.61,5.1,15.97,4.91,0,0.47,1.48,2.88
DFW,ABQ,20-Apr,61,96.72,93.44,96.72,0,0,1.67,6.09,16.64,3.23,1,1.28,2.1,2.03
DFW,ANC,20-Apr,45,77.78,75.56,71.11,0,0,7.87,2.64,13.8,10.67,4.78,1.15,6.87,12.91
DFW,ATL,20-Apr,177,92.09,89.27,94.92,0,0,3.95,2.85,13.72,5.28,0.69,0.65,0.33,2.69
DFW,AUS,20-Apr,93,91.4,89.25,91.4,0,0,3.91,4.45,14.73,5.59,1.84,1.62,1.87,4.66
DFW,BDL,20-Apr,26,88.46,88.46,96.15,0,0,4.19,1.79,12.04,4.35,0.54,0.45,0,2.19
DFW,BHM,20-Apr,13,100,100,100,0,0,0,7.95,19.62,1.92,3.62,0.44,0.92,0
DFW,BNA,20-Apr,76,93.42,90.79,94.74,0,0,4.55,5.18,16.25,6.11,1.57,0.53,0.37,3.25
DFW,BOS,20-Apr,67,92.54,86.57,95.52,0,0,5.85,4.95,15.91,8.12,0.19,1.63,0.09,4.19
DFW,BUF,20-Apr,21,85.71,71.43,90.48,0,0,6.14,8.86,19.57,11.48,3.29,0.33,1.86,4.81
DFW,BUR,20-Apr,31,90.32,74.19,74.19,0,0,7.13,7.62,18.13,11.03,3.74,1.53,9,12.03
DFW,BWI,20-Apr,37,97.3,97.3,100,0,0,0.97,3.54,13.89,1.73,1.3,0.64,0.03,0
DFW,CLE,20-Apr,56,96.43,89.29,98.21,0,0,2.23,6.91,17.77,5.3,1.25,0.71,0.82,1.95
DFW,CLT,20-Apr,110,91.82,89.09,93.64,0,0,5.25,4.37,14.75,7.44,0.5,1.37,0.43,3.41
DFW,CVG,20-Apr,88,93.18,87.5,90.91,0,0,3.88,6.28,17.36,7.31,1.28,0.82,1.59,4.38
DFW,DAY,20-Apr,13,92.31,84.62,92.31,0,0,5.69,4.29,15.69,7.15,5.15,1.62,0.15,5.23
DFW,DCA,20-Apr,88,96.59,93.18,97.73,0,0,1.53,4.57,14.9,3.64,0.82,0.67,0.32,0.67
DFW,DEN,20-Apr,166,93.37,89.76,95.18,0,0,2.58,4.31,15.52,4.36,0.86,1.31,0.69,2.02
DFW,DTW,20-Apr,111,94.59,90.99,91.89,0,0,3.08,3.39,14.62,4.53,3.83,1.24,4.23,5.82
DFW,EWR,20-Apr,38,92.11,81.58,97.37,0,0,5.16,3.49,13.92,6.74,0.71,0.48,0.24,1.95
DFW,FLL,20-Apr,75,93.33,93.33,94.67,0,0,3.87,3.71,14.32,5.28,1.17,0.91,0.15,2.49
DFW,HNL,20-Apr,1,100,100,100,0,0,0,8.6,20,9,0,0,0,6
DFW,HOU,20-Apr,5,100,100,100,0,0,0,1.9,14.4,0,1.8,0.88,0,0
DFW,IAD,20-Apr,58,94.83,96.55,96.55,0,0,2.14,3.6,14.36,3.36,0.86,0.22,0.5,1.24
DFW,IAH,20-Apr,145,91.72,87.59,93.1,0,0,2.65,4.15,15.49,4.63,2.58,1.58,1.52,2.66
DFW,IND,20-Apr,53,94.34,88.68,94.34,0,0,1.45,6.49,16.94,4.32,1.06,1.87,1.02,1.34
DFW,JAX,20-Apr,47,93.62,85.11,91.49,0,0,4.87,6.6,16.94,8.72,1.15,0.37,1.3,4.96
DFW,JFK,20-Apr,23,86.96,86.96,86.96,0,0,6.87,3.5,14.3,9,1.04,0.48,3.43,7.78
DFW,LAS,20-Apr,139,91.37,86.33,87.05,0,0,5.36,4.83,15.36,7.32,0.54,1.16,3.19,6.33
DFW,LAX,20-Apr,234,90.6,87.18,92.31,0,0,4.78,3.83,14.63,6.73,0.65,0.47,1.48,4.6
DFW,LGA,20-Apr,53,90.57,86.79,94.34,0,0,4.72,4.56,15.08,6.51,0.55,0.99,0.94,3.02
DFW,MCI,20-Apr,67,97.01,92.54,94.03,0,0,2.9,4.19,14.79,3.99,3.9,2.79,3.45,4.96
DFW,MCO,20-Apr,141,93.62,90.07,95.74,0,0,3.39,3.4,13.98,4.73,0.82,3.72,0.38,2.28
DFW,MEM,20-Apr,72,97.22,94.44,95.83,0,0,5.14,4.64,15.31,6.92,2.17,0.68,0.75,5.24
DFW,MIA,20-Apr,112,91.07,84.82,92.86,0,0,5.23,5.31,15.77,8.32,1.14,0.52,0.39,3.46
DFW,MKE,20-Apr,47,91.49,91.49,91.49,0,0,4.04,2.99,13.32,4.6,2.32,0.16,1.89,3.83
DFW,MSP,20-Apr,85,97.65,94.12,96.47,0,0,2.19,3.3,14.49,3.49,0.49,0.17,1.72,2.54
DFW,MSY,20-Apr,84,94.05,92.86,92.86,0,0,2.82,3.83,14.02,4.12,2.4,2.5,2.25,3.45
DFW,OMA,20-Apr,51,92.16,90.2,92.16,0,0,3.69,3.2,14.71,4.96,1.43,1.04,0.43,2.96
DFW,ONT,20-Apr,66,86.36,78.79,86.36,0,0,4.76,5.93,16.33,7.53,0.74,0.42,4.27,5.62
DFW,ORD,20-Apr,216,92.13,87.96,96.3,0,0,3.75,4.68,15.31,5.91,0.54,1.98,0.47,1.95
DFW,PBI,20-Apr,35,94.29,88.57,97.14,0,0,3.09,5.4,15.8,5,0.14,1.23,0.06,2.34
DFW,PDX,20-Apr,60,100,88.33,98.33,0,0,0.45,8.09,18.73,4.72,0.43,0.67,2.05,1.73
DFW,PHL,20-Apr,89,96.63,91.01,98.88,0,0,1.62,3.62,14.1,2.96,1.96,0.95,0.16,0.58
DFW,PHX,20-Apr,144,89.58,86.11,91.67,0,0,4.69,4.92,15.41,6.9,0.44,0.66,1.7,4.4
DFW,PIT,20-Apr,62,91.94,85.48,91.94,0,0,5.18,5.7,16.53,7.26,1.37,1.36,0.6,4.27
DFW,PSP,20-Apr,37,97.3,91.89,94.59,0,0,1.81,4.56,15,3.35,1.73,0.59,2.19,2.46
DFW,RDU,20-Apr,69,94.2,86.96,95.65,0,0,2.13,5.48,15.94,4.77,0.86,1.94,0.93,1.68
DFW,RSW,20-Apr,45,100,93.33,100,0,0,0.18,5.88,16.31,2.18,2.62,0.31,0.38,0.11
DFW,SAN,20-Apr,97,90.72,84.54,86.6,0,0,3.43,6.14,16.68,6.36,0.61,1.25,6.04,5.91
DFW,SAT,20-Apr,120,95,90.83,95.83,0,0,2.31,4.82,15.17,4.11,1.38,1.08,0.78,1.9
DFW,SDF,20-Apr,15,100,100,100,0,0,0.53,2,12.2,1,0.8,0.57,1.67,0.73
DFW,SEA,20-Apr,122,95.08,91.8,95.9,0,0,2.55,4.45,15.72,4.3,1.22,1.87,2.8,2.53
DFW,SFO,20-Apr,94,94.68,86.17,93.62,0,0,2.18,7.35,18.14,5.32,1.74,0.66,2.65,2.35
DFW,SJC,20-Apr,40,92.5,85,90,0,0,3.4,7.28,17.58,6.72,0.58,0.64,2.42,3.58
DFW,SJU,20-Apr,1,100,100,100,0,0,0,0,10,0,0,5.9,0,0
DFW,SLC,20-Apr,112,93.75,87.5,91.96,0,0,5.96,4.97,16.19,8.34,0.64,1.71,3.04,6.56
DFW,SMF,20-Apr,55,96.36,94.55,96.36,0,0,2.27,3.16,13.4,3.36,1.11,0.6,2.38,2.82
DFW,SNA,20-Apr,73,95.89,93.15,93.15,0,0,3.68,5.73,16.16,5.49,2.92,0.22,4.99,5.88
DFW,STL,20-Apr,74,94.59,93.24,94.59,0,0,2.41,4.01,14.32,3.74,1.45,1.62,0.43,2
DFW,TPA,20-Apr,75,94.67,93.33,94.67,0,0,2.84,4.43,14.99,4.6,0.76,1.31,0.28,1.95
DFW,TUS,20-Apr,54,98.15,98.15,96.3,0,0,1.13,4.59,15.02,2.35,0.46,0.74,3.76,2.54
DFW,VNY,20-Apr,1,0,0,0,0,0,64,7.6,19,72,4,0,10,74
DTW,ANC,20-Apr,1,0,0,0,0,0,47,0,13,45,0,1,0,42
DTW,ATL,20-Apr,178,94.38,91.57,93.26,0,0,2.62,2.71,14.6,4.4,0.51,0.79,3.19,4.1
DTW,AUS,20-Apr,33,87.88,84.85,81.82,0,0,5.06,1,12.3,5.24,2.88,0.79,6.24,7.88
DTW,BDL,20-Apr,23,95.65,86.96,95.65,0,0,5.78,3.7,14.96,8.43,4.96,0.34,1.17,5.78
DTW,BNA,20-Apr,62,96.77,90.32,95.16,0,0,0.73,2.6,13.27,2.47,1.37,0.7,3.18,2.37
DTW,BOS,20-Apr,106,99.06,95.28,96.23,0,0,1.59,1.69,13.54,2.84,2.84,0.46,1.37,1.94
DTW,BUF,20-Apr,2,100,100,100,0,0,0,12.8,27,5,0.5,0,3,0
DTW,BWI,20-Apr,66,93.94,93.94,95.45,0,0,1.73,1.39,12,2.47,0.92,0.96,1.79,1.7
DTW,CLE,20-Apr,85,98.82,92.94,94.12,0,0,0.35,3.29,14.74,2.45,5.09,1.04,2.08,1.59
DTW,CLT,20-Apr,108,96.3,93.52,98.15,0,0,2.02,2.13,14.19,2.79,0.74,1.11,0.32,1.24
DTW,CVG,20-Apr,23,52.17,47.83,60.87,0,0,17.61,2,15.52,19.13,0.83,0.3,0.91,16.39
DTW,DAL,20-Apr,13,92.31,92.31,92.31,0,0,2,0.37,7.92,2,1.46,0.28,0,1.15
DTW,DCA,20-Apr,73,98.63,94.52,98.63,0,0,1.64,2.07,14.11,2.66,0.67,0.35,0.97,1.52
DTW,DEN,20-Apr,92,98.91,95.65,98.91,0,0,1.25,2.02,12.92,2.4,2.65,0.83,1.02,1.67
DTW,DFW,20-Apr,112,95.54,91.07,91.96,0,0,2.44,3.15,15.23,3.93,0.75,3.46,2.79,3.63
DTW,EWR,20-Apr,42,92.86,92.86,97.62,0,0,2.74,1.71,14.24,3.17,2.67,0.4,0.74,1.67
DTW,FLL,20-Apr,55,98.18,94.55,90.91,0,0,0.85,1.97,14.2,1.84,0.87,2.18,3.15,2.56
DTW,HPN,20-Apr,2,100,100,100,0,0,0,1.45,10.5,0,6,0.5,0,0
DTW,IAD,20-Apr,61,96.72,93.44,96.72,0,0,1.23,1.79,12.95,2.2,1.13,0.13,0.51,0.97
DTW,IAH,20-Apr,118,99.15,94.92,91.53,0,0,0.83,3.6,14.99,2.78,3.84,2.2,4.42,3.85
DTW,IND,20-Apr,38,94.74,92.11,92.11,0,0,1.79,2.41,14.42,3.16,2.71,1.19,1.79,2.47
DTW,JAX,20-Apr,10,90,90,90,0,0,2.5,3.3,16.1,4.3,1.3,0.24,1.4,2.7
DTW,LAS,20-Apr,91,93.41,91.21,90.11,0,0,2.18,1.73,13.11,2.81,1.45,1.43,3.71,3.75
DTW,LAX,20-Apr,96,93.75,90.63,89.58,0,0,3.19,1.77,14.34,4.09,1.68,0.17,3.73,4.06
DTW,LGA,20-Apr,87,93.1,94.25,97.7,0,0,1.76,2.47,15.32,2.74,1.85,0.88,0.54,0.78
DTW,MCI,20-Apr,36,94.44,91.67,88.89,0,0,2.69,1.94,13.61,3.94,0.47,0.44,4.94,5.58
DTW,MCO,20-Apr,87,96.55,95.4,96.55,0,0,1.11,1.35,12.67,1.7,0.23,3.58,1.7,1.46
DTW,MDW,20-Apr,45,97.78,88.89,95.56,0,0,1.16,2.94,11.98,3.04,0.58,0.62,1.62,1.8
DTW,MEM,20-Apr,23,95.65,95.65,86.96,0,0,3.26,1.52,13.43,4.43,1,0.07,4.52,6.26
DTW,MHT,20-Apr,38,97.37,92.11,94.74,0,0,1.13,3.23,14.61,2.92,4.63,0.9,1.92,1.79
DTW,MIA,20-Apr,47,97.87,91.49,93.62,0,0,0.85,4.04,16.49,2.45,1.49,0.47,2.96,2.57
DTW,MKE,20-Apr,54,90.74,90.74,90.74,0,0,4.91,2.71,14.11,6.44,3.5,0.47,1.37,5.33
DTW,MSP,20-Apr,108,94.44,93.52,95.37,0,0,2.27,1.36,13.5,2.96,1.84,0.48,1.75,2.79
DTW,MSY,20-Apr,21,85.71,76.19,85.71,0,0,6.81,3.5,15.9,8.76,0.52,0.77,5.24,7.57
DTW,OMA,20-Apr,4,100,100,100,0,0,0,1.7,12.5,0,3.75,1.5,0,0
DTW,ORD,20-Apr,236,95.34,92.8,97.03,0,0,2.82,3.28,15.13,4.24,2.55,1.31,0.79,2.26
DTW,PDX,20-Apr,1,100,100,100,0,0,0,0,11,0,3,18.9,2,0
DTW,PHL,20-Apr,66,95.45,93.94,95.45,0,0,3.76,2.57,15.03,4.61,4.42,0.83,0.64,3.21
DTW,PHX,20-Apr,53,96.23,96.23,84.91,0,0,2.02,1.82,12.92,2.74,2.66,1.6,5.83,6.06
DTW,PIT,20-Apr,69,95.65,92.75,94.2,0,0,1.57,1.78,14,2.33,4.96,0.86,1.42,2.33
DTW,PVD,20-Apr,41,87.8,82.93,87.8,0,0,5.2,2.54,14.07,6.95,4.32,0.29,1.46,5.41
DTW,RDU,20-Apr,62,98.39,96.77,95.16,0,0,0.35,1.35,13.79,1.27,0.08,0.35,2.24,1.65
DTW,RSW,20-Apr,53,94.34,90.57,90.57,0,0,2.09,2.65,14.72,3.36,1.02,1.11,3.47,3.45
DTW,SAN,20-Apr,9,100,100,66.67,0,0,0.33,1.44,14.78,0.44,3.11,0.94,9.44,7.67
DTW,SAT,20-Apr,23,82.61,73.91,65.22,0,0,5.65,6.23,17.52,10.04,2.3,0.66,10,13
DTW,SDF,20-Apr,43,97.67,97.67,100,0,0,0.4,0.7,12.74,0.63,2.79,1.44,0.6,0.4
DTW,SEA,20-Apr,72,97.22,97.22,94.44,0,0,1.29,2.23,15.18,2.22,2.35,1.05,2.92,2.47
DTW,SFO,20-Apr,29,100,93.1,89.66,0,0,0.52,3.55,16.59,3.14,3.38,0.38,4.93,3.76
DTW,SLC,20-Apr,82,97.56,95.12,90.24,0,0,0.95,2.51,14.67,2.37,2.66,0.81,7.28,5.3
DTW,STL,20-Apr,43,95.35,95.35,86.05,0,0,3.16,2,13.84,4.12,0.7,0.83,4.93,6.02
DTW,SWF,20-Apr,28,96.43,89.29,92.86,0,0,1.93,4.67,15.96,5.61,8.29,0.42,3.89,4.93
DTW,TPA,20-Apr,75,96,93.33,89.33,0,0,3.31,0.97,11.81,3.63,1.2,1.19,2.44,4.33
EWR,ANC,20-Apr,1,100,100,100,0,0,0,0,12,0,6,0.2,6,0
EWR,ATL,20-Apr,64,96.88,100,95.31,0,0,0.72,0.57,11.03,0.61,0.66,1.51,5.39,5.06
EWR,AUS,20-Apr,1,100,100,100,0,0,0,11.5,23,7,5,0,0,0
EWR,BNA,20-Apr,4,100,75,100,0,0,0,10.4,22.5,7,0,5.7,0.75,0
EWR,BOS,20-Apr,15,100,100,100,0,0,0.53,0.53,12.13,0.33,0.53,1.49,0,0
EWR,CLE,20-Apr,20,95,95,90,0,0,1.65,1.76,13.15,2.1,1.05,1.34,1,2.4
EWR,CLT,20-Apr,50,96,96,98,0,0,2.06,1.51,13.16,2.48,1.74,1.12,0.04,1.08
EWR,CVG,20-Apr,10,90,90,100,0,0,1.9,6.96,19.4,3.9,1.5,1.84,0,0
EWR,DCA,20-Apr,9,88.89,88.89,88.89,0,0,6,2.32,14.78,6.78,2.44,0.36,0,3.56
EWR,DEN,20-Apr,36,94.44,91.67,94.44,0,0,7.81,2.46,13.64,9.06,0.89,1.48,0.22,5.08
EWR,DFW,20-Apr,40,100,100,92.5,0,0,0,1,13.13,0.28,1.8,4.73,4.8,2.58
EWR,DTW,20-Apr,45,95.56,97.78,95.56,0,0,1.42,0.9,12.04,1.38,0.89,0.3,2.29,1.93
EWR,FLL,20-Apr,50,94,94,100,0,0,1.42,0.41,12.52,1.28,0.14,1.11,0.36,0.18
EWR,HPN,20-Apr,1,100,100,100,0,0,0,10.4,23,10,0,0,0,2
EWR,IAD,20-Apr,76,94.74,93.42,97.37,0,0,2.01,2.11,13.29,2.53,0.39,0.64,0.42,0.7
EWR,IAH,20-Apr,74,90.54,87.84,93.24,0,0,4.32,3.24,14.43,5.82,3.09,1.5,2.8,4.59
EWR,IND,20-Apr,4,75,75,75,0,0,14,1.23,13,14,7.75,2.9,5.5,5.5
EWR,JAX,20-Apr,3,100,100,100,0,0,0,3.27,15.67,0,3.67,3.4,0,0
EWR,JFK,20-Apr,1,100,100,100,0,0,0,4.5,19,0,0,0,1,0
EWR,LAS,20-Apr,3,100,100,100,0,0,0,2.67,13.67,0,0.67,0,0,0
EWR,LAX,20-Apr,70,85.71,78.57,90,0,0,6.17,5.76,17.5,10.06,1.07,0.83,0.7,4.11
EWR,MCI,20-Apr,5,100,100,100,0,0,0,2.72,14.6,0.2,3,3.96,0,0
EWR,MCO,20-Apr,92,78.26,76.09,76.09,0,0,12.07,1.52,13.49,12.82,0.53,2.89,1.72,12.27
EWR,MEM,20-Apr,7,100,100,100,0,0,1.14,1.03,13,1.57,2.43,0.09,0,0
EWR,MIA,20-Apr,27,92.59,92.59,92.59,0,0,5.59,1.76,13.63,5.78,0.67,1.89,0.78,3.93
EWR,MSP,20-Apr,30,96.67,96.67,100,0,0,1,1.05,12,1.07,2.6,0.15,0.73,0.53
EWR,MSY,20-Apr,1,100,100,100,0,0,0,2.5,14,0,0,0.6,0,0
EWR,ORD,20-Apr,94,88.3,87.23,91.49,0,0,4.35,3.37,14.74,5.99,0.35,1.73,0.7,2.73
EWR,PBI,20-Apr,37,94.59,94.59,94.59,0,0,3.95,0.8,12.59,3.73,2.78,1.18,3.14,5.65
EWR,PDX,20-Apr,2,100,100,100,0,0,0,0,10,0,0,0.2,0,0
EWR,PHX,20-Apr,13,92.31,84.62,100,0,0,3.77,4.62,16.85,6.38,1.38,0.65,0.85,0.31
EWR,PIT,20-Apr,8,100,100,100,0,0,0.63,0.83,12.63,0.38,0.25,1.13,0,0
EWR,RDU,20-Apr,11,90.91,90.91,90.91,0,0,3.91,1.61,12.73,4.45,3,1.3,0.27,1.45
EWR,RSW,20-Apr,24,100,91.67,95.83,0,0,0.75,2.23,13.96,2.21,0.75,3.22,1.17,0.88
EWR,SAN,20-Apr,5,100,100,100,0,0,0,3.24,15.2,0,0,0.44,0,0
EWR,SAT,20-Apr,5,80,80,100,0,0,5.6,2.32,14.2,5.4,7.4,1.28,0,0
EWR,SDF,20-Apr,4,100,100,100,0,0,0,3.4,16,0.75,3,0.33,0,0
EWR,SEA,20-Apr,29,96.55,96.55,100,0,0,0.97,2.21,14.59,1.31,1,0.99,0.31,0.1
EWR,SFO,20-Apr,61,83.61,80.33,93.44,0,0,5.8,5.08,16.72,9.1,1.34,0.79,0.07,2.25
EWR,SJC,20-Apr,2,100,100,100,0,0,0,4.4,17.5,0,0,0,0,0
EWR,SJU,20-Apr,24,95.83,95.83,100,0,0,1.04,3.27,15.96,1.21,0,4.66,1.13,0
EWR,SLC,20-Apr,1,100,100,100,0,0,0,0,9,0,2,0,0,0
